Epoch: 0 | train loss: 0.01417 | test loss: 0.01441 | learn rate: 0.00100000
Epoch: 20 | train loss: 0.00384 | test loss: 0.00209 | learn rate: 0.00100000
Epoch: 40 | train loss: 0.00327 | test loss: 0.00147 | learn rate: 0.00100000
Epoch: 60 | train loss: 0.00168 | test loss: 0.00120 | learn rate: 0.00100000
Epoch: 80 | train loss: 0.00301 | test loss: 0.00114 | learn rate: 0.00100000
Epoch: 100 | train loss: 0.00245 | test loss: 0.00109 | learn rate: 0.00100000
Epoch: 120 | train loss: 0.00168 | test loss: 0.00096 | learn rate: 0.00100000
Epoch: 140 | train loss: 0.00196 | test loss: 0.00087 | learn rate: 0.00100000
Epoch: 160 | train loss: 0.00193 | test loss: 0.00075 | learn rate: 0.00100000
Epoch: 180 | train loss: 0.00222 | test loss: 0.00085 | learn rate: 0.00100000
Epoch: 200 | train loss: 0.00133 | test loss: 0.00068 | learn rate: 0.00090000
Epoch: 220 | train loss: 0.00122 | test loss: 0.00096 | learn rate: 0.00090000
Epoch: 240 | train loss: 0.00151 | test loss: 0.00068 | learn rate: 0.00090000
Epoch: 260 | train loss: 0.00114 | test loss: 0.00061 | learn rate: 0.00090000
Epoch: 280 | train loss: 0.00114 | test loss: 0.00059 | learn rate: 0.00090000
Epoch: 300 | train loss: 0.00175 | test loss: 0.00063 | learn rate: 0.00090000
Epoch: 320 | train loss: 0.00169 | test loss: 0.00063 | learn rate: 0.00090000
Epoch: 340 | train loss: 0.00104 | test loss: 0.00056 | learn rate: 0.00090000
Epoch: 360 | train loss: 0.00091 | test loss: 0.00057 | learn rate: 0.00090000
Epoch: 380 | train loss: 0.00091 | test loss: 0.00059 | learn rate: 0.00090000
Epoch: 400 | train loss: 0.00089 | test loss: 0.00055 | learn rate: 0.00081000
Epoch: 420 | train loss: 0.00080 | test loss: 0.00052 | learn rate: 0.00081000
Epoch: 440 | train loss: 0.00078 | test loss: 0.00051 | learn rate: 0.00081000
Epoch: 460 | train loss: 0.00073 | test loss: 0.00049 | learn rate: 0.00081000
Epoch: 480 | train loss: 0.00110 | test loss: 0.00048 | learn rate: 0.00081000
Epoch: 500 | train loss: 0.00078 | test loss: 0.00049 | learn rate: 0.00081000
Epoch: 520 | train loss: 0.00070 | test loss: 0.00049 | learn rate: 0.00081000
Epoch: 540 | train loss: 0.00148 | test loss: 0.00048 | learn rate: 0.00081000
Epoch: 560 | train loss: 0.00080 | test loss: 0.00050 | learn rate: 0.00081000
Epoch: 580 | train loss: 0.00079 | test loss: 0.00049 | learn rate: 0.00081000
Epoch: 600 | train loss: 0.00068 | test loss: 0.00047 | learn rate: 0.00072900
Epoch: 620 | train loss: 0.00107 | test loss: 0.00044 | learn rate: 0.00072900
Epoch: 640 | train loss: 0.00076 | test loss: 0.00042 | learn rate: 0.00072900
Epoch: 660 | train loss: 0.00066 | test loss: 0.00046 | learn rate: 0.00072900
Epoch: 680 | train loss: 0.00097 | test loss: 0.00045 | learn rate: 0.00072900
Epoch: 700 | train loss: 0.00058 | test loss: 0.00042 | learn rate: 0.00072900
Epoch: 720 | train loss: 0.00062 | test loss: 0.00042 | learn rate: 0.00072900
Epoch: 740 | train loss: 0.00067 | test loss: 0.00043 | learn rate: 0.00072900
Epoch: 760 | train loss: 0.00056 | test loss: 0.00040 | learn rate: 0.00072900
Epoch: 780 | train loss: 0.00073 | test loss: 0.00045 | learn rate: 0.00072900
Epoch: 800 | train loss: 0.00073 | test loss: 0.00040 | learn rate: 0.00065610
Epoch: 820 | train loss: 0.00051 | test loss: 0.00040 | learn rate: 0.00065610
Epoch: 840 | train loss: 0.00150 | test loss: 0.00043 | learn rate: 0.00065610
Epoch: 860 | train loss: 0.00114 | test loss: 0.00046 | learn rate: 0.00065610
Epoch: 880 | train loss: 0.00058 | test loss: 0.00042 | learn rate: 0.00065610
Epoch: 900 | train loss: 0.00050 | test loss: 0.00036 | learn rate: 0.00065610
Epoch: 920 | train loss: 0.00067 | test loss: 0.00039 | learn rate: 0.00065610
Epoch: 940 | train loss: 0.00052 | test loss: 0.00038 | learn rate: 0.00065610
Epoch: 960 | train loss: 0.00057 | test loss: 0.00037 | learn rate: 0.00065610
Epoch: 980 | train loss: 0.00084 | test loss: 0.00038 | learn rate: 0.00065610
Epoch: 1000 | train loss: 0.00059 | test loss: 0.00035 | learn rate: 0.00059049
Epoch: 1020 | train loss: 0.00050 | test loss: 0.00036 | learn rate: 0.00059049
Epoch: 1040 | train loss: 0.00047 | test loss: 0.00036 | learn rate: 0.00059049
Epoch: 1060 | train loss: 0.00048 | test loss: 0.00036 | learn rate: 0.00059049
Epoch: 1080 | train loss: 0.00041 | test loss: 0.00035 | learn rate: 0.00059049
Epoch: 1100 | train loss: 0.00079 | test loss: 0.00035 | learn rate: 0.00059049
Epoch: 1120 | train loss: 0.00084 | test loss: 0.00037 | learn rate: 0.00059049
Epoch: 1140 | train loss: 0.00061 | test loss: 0.00034 | learn rate: 0.00059049
Epoch: 1160 | train loss: 0.00085 | test loss: 0.00034 | learn rate: 0.00059049
Epoch: 1180 | train loss: 0.00049 | test loss: 0.00034 | learn rate: 0.00059049
Epoch: 1200 | train loss: 0.00053 | test loss: 0.00035 | learn rate: 0.00053144
Epoch: 1220 | train loss: 0.00082 | test loss: 0.00033 | learn rate: 0.00053144
Epoch: 1240 | train loss: 0.00053 | test loss: 0.00034 | learn rate: 0.00053144
Epoch: 1260 | train loss: 0.00058 | test loss: 0.00034 | learn rate: 0.00053144
Epoch: 1280 | train loss: 0.00047 | test loss: 0.00032 | learn rate: 0.00053144
Epoch: 1300 | train loss: 0.00054 | test loss: 0.00033 | learn rate: 0.00053144
Epoch: 1320 | train loss: 0.00069 | test loss: 0.00032 | learn rate: 0.00053144
Epoch: 1340 | train loss: 0.00071 | test loss: 0.00035 | learn rate: 0.00053144
Epoch: 1360 | train loss: 0.00068 | test loss: 0.00032 | learn rate: 0.00053144
Epoch: 1380 | train loss: 0.00049 | test loss: 0.00033 | learn rate: 0.00053144
Epoch: 1400 | train loss: 0.00053 | test loss: 0.00031 | learn rate: 0.00047830
Epoch: 1420 | train loss: 0.00047 | test loss: 0.00033 | learn rate: 0.00047830
Epoch: 1440 | train loss: 0.00041 | test loss: 0.00032 | learn rate: 0.00047830
Epoch: 1460 | train loss: 0.00044 | test loss: 0.00031 | learn rate: 0.00047830
Epoch: 1480 | train loss: 0.00045 | test loss: 0.00032 | learn rate: 0.00047830
Epoch: 1500 | train loss: 0.00044 | test loss: 0.00032 | learn rate: 0.00047830
Epoch: 1520 | train loss: 0.00044 | test loss: 0.00032 | learn rate: 0.00047830
Epoch: 1540 | train loss: 0.00070 | test loss: 0.00033 | learn rate: 0.00047830
Epoch: 1560 | train loss: 0.00054 | test loss: 0.00033 | learn rate: 0.00047830
Epoch: 1580 | train loss: 0.00062 | test loss: 0.00031 | learn rate: 0.00047830
Epoch: 1600 | train loss: 0.00041 | test loss: 0.00030 | learn rate: 0.00043047
Epoch: 1620 | train loss: 0.00072 | test loss: 0.00033 | learn rate: 0.00043047
Epoch: 1640 | train loss: 0.00086 | test loss: 0.00031 | learn rate: 0.00043047
Epoch: 1660 | train loss: 0.00047 | test loss: 0.00029 | learn rate: 0.00043047
